Fixtures,, , ,,,,,NIF,Collide,,On.
ID,NIF #,Textual Name,X,Y,Z,A,Scale,Collide,Radius,Animate,Ground,Flip,Cave, Unique Id
1,443,Pine#1,35712,36480,0,207,173,0,18,0,1,0,0,1
2,443,Pine#1,11520,23552,0,306,174,0,18,0,1,0,0,2
3,443,Pine#1,6912,26624,0,304,170,0,18,0,1,0,0,3
4,443,Pine#1,8704,27904,0,301,154,0,18,0,1,0,0,4
5,443,Pine#1,9472,26368,0,266,179,0,18,0,1,0,0,5
6,443,Pine#1,9728,25088,0,242,152,0,18,0,1,0,0,6
7,443,Pine#1,8192,23552,0,315,152,0,18,0,1,0,0,7
8,443,Pine#1,5376,22528,0,5,198,0,18,0,1,0,0,8
9,443,Pine#1,12800,21504,0,211,199,0,18,0,1,0,0,9
10,443,Pine#1,640,35584,0,311,168,0,18,0,1,0,0,10
11,443,Pine#1,5120,29440,0,240,151,0,18,0,1,0,0,11
12,443,Pine#1,4608,26880,0,197,159,0,18,0,1,0,0,12
13,443,Pine#1,5888,25600,0,220,187,0,18,0,1,0,0,13
14,444,Pine#2,6400,27648,0,279,193,0,15,0,1,0,0,14
15,444,Pine#2,6400,22016,0,218,183,0,15,0,1,0,0,15
16,444,Pine#2,7424,21504,0,260,195,0,15,0,1,0,0,16
17,444,Pine#2,10240,22528,0,122,198,0,15,0,1,0,0,17
18,444,Pine#2,27648,52224,0,36,187,0,15,0,1,0,0,18
19,444,Pine#2,30208,51456,0,40,191,0,15,0,1,0,0,19
20,444,Pine#2,32512,55552,0,78,198,0,15,0,1,0,0,20
21,444,Pine#2,29184,54016,0,100,171,0,15,0,1,0,0,21
22,444,Pine#2,28672,47616,0,348,197,0,15,0,1,0,0,22
23,444,Pine#2,27136,49152,0,101,157,0,15,0,1,0,0,23
24,444,Pine#2,27136,50432,0,203,195,0,15,0,1,0,0,24
25,444,Pine#2,29696,47872,0,191,171,0,15,0,1,0,0,25
26,444,Pine#2,28672,51200,0,151,193,0,15,0,1,0,0,26
27,444,Pine#2,34304,55552,0,103,195,0,15,0,1,0,0,27
28,444,Pine#2,35072,61184,0,223,163,0,15,0,1,0,0,28
29,444,Pine#2,9984,62720,0,260,164,0,15,0,1,0,0,29
30,444,Pine#2,2816,63232,0,101,160,0,15,0,1,0,0,30
31,444,Pine#2,2816,50432,0,257,161,0,15,0,1,0,0,31
32,444,Pine#2,5888,42112,0,257,173,0,15,0,1,0,0,32
33,444,Pine#2,9984,43008,0,16,162,0,15,0,1,0,0,33
34,444,Pine#2,2560,43520,0,118,190,0,15,0,1,0,0,34
35,444,Pine#2,1408,33920,0,249,171,0,15,0,1,0,0,35
36,444,Pine#2,1792,27776,0,20,178,0,15,0,1,0,0,36
37,444,Pine#2,5120,22016,0,43,189,0,15,0,1,0,0,37
38,444,Pine#2,9216,18176,0,312,153,0,15,0,1,0,0,38
39,444,Pine#2,6144,6912,0,26,155,0,15,0,1,0,0,39
40,444,Pine#2,5120,9472,0,145,187,0,15,0,1,0,0,40
41,444,Pine#2,32000,7936,0,282,176,0,15,0,1,0,0,41
